gene	via_seed	interaction_score	n_drugs	n_approved	maturity	priority	approved_drugs	top_drugs
BCR	TP53	0.52	23	17	0.894	0.4649	DASATINIB ANHYDROUS|IMATINIB|ASCIMINIB|BOSUTINIB|BUSULFAN|INOTUZUMAB OZOGAMICIN|OMACETAXINE|PONATINIB HYDROCHLORIDE|ASCIMINIB HYDROCHLORIDE|BLINATUMOMAB|VINCRISTINE|PONATINIB|NILOTINIB HYDROCHLORIDE MONOHYDRATE|BOSUTINIB MONOHYDRATE|NILOTINIB|LITHIUM CATION|IMATINIB MESYLATE	OMACETAXINE|INOTUZUMAB OZOGAMICIN|BCR-ABL INHIBITOR GNF-2|ASCIMINIB|PONATINIB HYDROCHLORIDE
CCND1	CDKN2A	0.49	31	18	0.944	0.4626	METHOTREXATE|CYTARABINE|LAPATINIB|PALBOCICLIB|NIFEDIPINE|PEMETREXED DISODIUM|CISPLATIN|TAMOXIFEN CITRATE|TAMOXIFEN|BORTEZOMIB|MEDROXYPROGESTERONE ACETATE|FLUOROURACIL|RIBOCICLIB|ABEMACICLIB|TROGLITAZONE|ACETAMINOPHEN|DOXORUBICIN HYDROCHLORIDE|ARSENIC TRIOXIDE	BRICICLIB|BRICICLIB|URACIL|MITOGEN-ACTIVATED PROTEIN KINASE INHIBITOR|GOSSYPOL
PML	TP53	0.7	5	4	0.631	0.4417	TAZAROTENE|TRETINOIN|TAMIBAROTENE|ARSENIC TRIOXIDE	TAMIBAROTENE|TAZAROTENE|VOLASERTIB|ARSENIC TRIOXIDE|TRETINOIN
HDAC8	TP53	0.44	53	10	1.0	0.44	ROMIDEPSIN|BELINOSTAT|VORINOSTAT|GIVINOSTAT HYDROCHLORIDE|VALPROIC ACID|GIVINOSTAT|PANOBINOSTAT LACTATE|DAUNORUBICIN LIPOSOMAL|PANOBINOSTAT|4-PHENYLBUTYRIC ACID	SZUH280|SPIRUCHOSTATIN C|BELINOSTAT|MOCETINOSTAT|MARBOSTAT-100
HSP90AA1	TP53	0.44	152	27	1.0	0.44	CHLOROXINE|MICONAZOLE NITRATE|FLUCONAZOLE|MASOPROCOL|O-PHENANTHROLINE|BIFONAZOLE|HALOFANTRINE HYDROCHLORIDE|TRICLABENDAZOLE|DISULFIRAM|IODOQUINOL|AMLEXANOX|DOXORUBICIN HYDROCHLORIDE|SULCONAZOLE NITRATE|DIPYRIDAMOLE|CLIOQUINOL|TETRACYCLINE|LEVOKETOCONAZOLE|ITRACONAZOLE|DAUNORUBICIN HYDROCHLORIDE|MICONAZOLE NITRATE|CLOTRIMAZOLE|ECONAZOLE NITRATE|HEXACHLOROPHENE|TERCONAZOLE|TRICLOSAN|BUTOCONAZOLE NITRATE|SERTACONAZOLE NITRATE	GELDANAMYCIN|HERBIMYCIN|ARGENTEOSIDE A|CHEMBL:CHEMBL1834096|LUMINESPIB
SMARCA4	TP53	0.48	24	12	0.9	0.432	PONATINIB|IBRUTINIB|TAZEMETOSTAT|RIBOCICLIB|ABEMACICLIB|VINORELBINE|TRETINOIN|VEMURAFENIB|PALBOCICLIB|VENETOCLAX|CISPLATIN|DABRAFENIB	SMD-3040|SMARCA2 DEGRADER PRT7732|MK-5108|PRT3789|A947
IKBKB	TP53	0.69	27	3	0.619	0.4271	AURANOFIN|ARSENIC TRIOXIDE|MESALAMINE	SAR-113945|IMD-1041|MLN-0415|R-RUGULACTONE|CHEMBL:CHEMBL193093
FBXW7	TP53	0.48	19	7	0.869	0.4171	PEMBROLIZUMAB|BELINOSTAT|TEMSIROLIMUS|DOCETAXEL ANHYDROUS|REGORAFENIB|VORINOSTAT|SIROLIMUS	MRK-003|HDAC INHIBITOR REC-2282|LUNRESERTIB|CRENIGACESTAT|PLIXORAFENIB
BAX	TP53	0.41	66	40	1.0	0.41	PRASTERONE|CAMPTOTHECIN|FLUOROURACIL|DACARBAZINE|ERYTHROMYCIN|INTERFERON ALFA-2B|PHENYLEPHRINE HYDROCHLORIDE|CARVEDILOL|PROCARBAZINE HYDROCHLORIDE|CYCLOPHOSPHAMIDE ANHYDROUS|METHOTREXATE|LEUCOVORIN CALCIUM|TRETINOIN|NICOTINE POLACRILEX|OXALIPLATIN|ARGIPRESSIN|VINORELBINE|MEDROXYPROGESTERONE ACETATE|NALTREXONE HYDROCHLORIDE|ATENOLOL|PREDNISOLONE|PHENOBARBITAL|ESTRAMUSTINE|ROFECOXIB|FLUDARABINE|LEVODOPA|PRAVASTATIN SODIUM|DOCETAXEL ANHYDROUS|CISPLATIN|ETOPOSIDE|CHORIOGONADOTROPIN ALFA|CETUXIMAB|VERAPAMIL|MITOXANTRONE HYDROCHLORIDE|BICALUTAMIDE|SIROLIMUS|CIPROFLOXACIN|SODIUM CHLORIDE|TESTOSTERONE|DOXORUBICIN HYDROCHLORIDE	TOPOISOMERASE-II-BETA INHIBITOR RACEMIC XK469|FOSBRETABULIN DISODIUM|NAFOXIDINE|RECOMBINANT INHIBIN|NEUROPROTECTIVE AGENT
SUMO1	TP53	0.72	19	3	0.569	0.4097	CEFDINIR|HEXACHLOROPHENE|CEFIXIME ANHYDROUS	CHEMBL:CHEMBL588143|CHEMBL:CHEMBL483838|CHEMBL:CHEMBL372629|CEFDINIR|BITHIONOLOXIDE
