gene	via_seed	interaction_score	n_drugs	n_approved	maturity	priority	approved_drugs	top_drugs
CSNK2A2	TP53	0.73	3	0	0.019	0.0139		COMPOUND 2C [PMID: 22115617]|SILMITASERTIB|HESPERADIN
MAPKAPK5	TP53	0.44	5	0	0.031	0.0136		GLPG-0259|GALAPAGOS MAPKAPK5 INHIBITOR D|COMPOUND 16 [PMID: 17480064]|COMPOUND 16 [PMID: 18945615]|GW843682X
PIP4K2C	TP53	0.53	4	0	0.025	0.0133		TMX-4153|TMX-4102|LRK-4189|RMC-113
KAT5	TP53	0.5	4	0	0.025	0.0125		CHEMBL:CHEMBL416038|MG149|ANACARDIC ACID|PF-9363
NUCLEOLIN	TP53	0.56	3	0	0.019	0.0106		NUCLEOLIN ANTAGONIST IPP-204106N|ANTI-NUCLEOLIN APTAMER AS1411|QUARFLOXIN
S100A2	TP53	0.68	2	0	0.013	0.0088		ANTISENSE OLIGONUCLEOTIDES|ANTISERUM
NMT1	TP53	0.4	3	0	0.019	0.0076		ZELENIRSTAT|NMT INHIBITOR 1 [WO2024052685A1]|MYX1715
PADI1	TP53	0.4	3	0	0.019	0.0076		CHEMBL:CHEMBL1910970|CHEMBL:CHEMBL1910971|O-F-AMIDINE
KAT8	TP53	0.56	2	0	0.013	0.0073		MG149|PF-9363
EGR1	CDKN2A	0.52	2	0	0.013	0.0068		GENIPIN|BRIVOLIGIDE
SREBF2	TP53	0.52	2	0	0.013	0.0068		N-DESMETHYLTAMOXIFEN|ENDOXIFEN
TRIM24	TP53	0.52	2	0	0.013	0.0068		DTRIM24|COMPOUND 34 [PMID: 25974391]
PPP1CB	CDKN2A	0.4	2	0	0.013	0.0052		MITOGLITAZONE|EPICATECHIN
HSPA9	TP53	0.81	1	0	0.006	0.0049		RHODACYANINE ANALOG MKT-077
DDX5	TP53	0.66	1	0	0.006	0.004		SUPINOXIN
MAGEA2	TP53	0.63	1	0	0.006	0.0038		MULTI-NEO-EPITOPE VACCINE OSE 2101
OTUB1	TP53	0.63	1	0	0.006	0.0038		COMPOUND 61 [PMID: 36221183]
SP1	CDKN2A|TP53	0.59	1	0	0.006	0.0035		TERAMEPROCOL
UCHL1	TP53	0.56	1	0	0.006	0.0034		LDN-91946
TCF4	TP53	0.56	1	0	0.006	0.0034		&BETA;-CATENIN
FLNA	TP53	0.56	1	0	0.006	0.0034		SIMUFILAM
STUB1	TP53	0.53	1	0	0.006	0.0032		PEPTIDE 22D
AXIN1	TP53	0.52	1	0	0.006	0.0031		CHEMBL:CHEMBL91638
NR0B2	TP53	0.52	1	0	0.006	0.0031		COMPOUND 10 [PMID: 18759424]
HIPK1	TP53	0.51	1	0	0.006	0.0031		STAUROSPORINE
CASK	TP53	0.44	1	0	0.006	0.0026		COMPOUND 26 [PMID: 34543009]
RPA1	TP53	0.4	1	0	0.006	0.0024		CHEMBL:CHEMBL1765371
YY1	TP53	0.4	1	0	0.006	0.0024		ANTISERUM
HIPK3	TP53	0.4	1	0	0.006	0.0024		SILMITASERTIB
RAD51	TP53	0.4	1	0	0.006	0.0024		AMUVATINIB
USP7	TP53	0.97	0	0	0.0	0.0		
UBC	TP53	0.96	0	0	0.0	0.0		
CUL7	TP53	0.93	0	0	0.0	0.0		
CUL9	TP53	0.92	0	0	0.0	0.0		
TP53BP2	TP53	0.9	0	0	0.0	0.0		
RCHY1	TP53	0.89	0	0	0.0	0.0		
DAXX	CDKN2A|TP53	0.88	0	0	0.0	0.0		
TP53BP1	TP53	0.88	0	0	0.0	0.0		
FBXW8	TP53	0.79	0	0	0.0	0.0		
UBE3A	TP53	0.77	0	0	0.0	0.0		
VRK1	TP53	0.76	0	0	0.0	0.0		
DNAJC7	TP53	0.73	0	0	0.0	0.0		
IFI16	TP53	0.72	0	0	0.0	0.0		
GTF2H1	TP53	0.72	0	0	0.0	0.0		
ASH2L	TP53	0.72	0	0	0.0	0.0		
HNRNPUL1	TP53	0.7	0	0	0.0	0.0		
ARIH2	TP53	0.69	0	0	0.0	0.0		
RBBP5	TP53	0.69	0	0	0.0	0.0		
HUWE1	CDKN2A|TP53	0.68	0	0	0.0	0.0		
DROSHA	TP53	0.68	0	0	0.0	0.0		
S100A6	TP53	0.68	0	0	0.0	0.0		
YWHAZ	TP53	0.67	0	0	0.0	0.0		
STIP1	TP53	0.67	0	0	0.0	0.0		
MAGEB18	TP53	0.67	0	0	0.0	0.0		
CCT5	TP53	0.66	0	0	0.0	0.0		
DUSP26	TP53	0.65	0	0	0.0	0.0		
RBPJ	TP53	0.65	0	0	0.0	0.0		
RING1	TP53	0.65	0	0	0.0	0.0		
PPP2R5C	TP53	0.65	0	0	0.0	0.0		
ZNF420	CDKN2A|TP53	0.64	0	0	0.0	0.0		
PPIF	TP53	0.64	0	0	0.0	0.0		
BAG2	TP53	0.64	0	0	0.0	0.0		
JMJD6	TP53	0.64	0	0	0.0	0.0		
SMG5	TP53	0.64	0	0	0.0	0.0		
NUMB	TP53	0.63	0	0	0.0	0.0		
PPP2R1A	TP53	0.63	0	0	0.0	0.0		
NOC2L	TP53	0.63	0	0	0.0	0.0		
MAGEA2B	TP53	0.63	0	0	0.0	0.0		
PHB1	TP53	0.62	0	0	0.0	0.0		
RYBP	TP53	0.62	0	0	0.0	0.0		
RFWD3	TP53	0.62	0	0	0.0	0.0		
RUVBL1	TP53	0.62	0	0	0.0	0.0		
S100A1	TP53	0.62	0	0	0.0	0.0		
SYVN1	TP53	0.61	0	0	0.0	0.0		
CCDC106	TP53	0.61	0	0	0.0	0.0		
TRIP12	CDKN2A	0.6	0	0	0.0	0.0		
CXXC1	TP53	0.6	0	0	0.0	0.0		
MKRN1	TP53	0.6	0	0	0.0	0.0		
FBXO11	TP53	0.6	0	0	0.0	0.0		
TP63	TP53	0.59	0	0	0.0	0.0		
HNRNPK	TP53	0.59	0	0	0.0	0.0		
SOX4	TP53	0.59	0	0	0.0	0.0		
AIMP2	TP53	0.59	0	0	0.0	0.0		
NRDC	TP53	0.58	0	0	0.0	0.0		
TOE1	TP53	0.58	0	0	0.0	0.0		
PIAS1	TP53	0.57	0	0	0.0	0.0		
C1QBP	CDKN2A	0.56	0	0	0.0	0.0		
CEBPB	TP53	0.56	0	0	0.0	0.0		
SAFB	TP53	0.56	0	0	0.0	0.0		
PEX26	TP53	0.56	0	0	0.0	0.0		
NFYB	TP53	0.56	0	0	0.0	0.0		
MAP1B	TP53	0.56	0	0	0.0	0.0		
LAMP2	TP53	0.56	0	0	0.0	0.0		
HINFP	TP53	0.55	0	0	0.0	0.0		
NDN	TP53	0.55	0	0	0.0	0.0		
CABLES1	TP53	0.54	0	0	0.0	0.0		
CSE1L	TP53	0.54	0	0	0.0	0.0		
S100A5	TP53	0.54	0	0	0.0	0.0		
S100A11	TP53	0.54	0	0	0.0	0.0		
USP42	TP53	0.54	0	0	0.0	0.0		
S100P	TP53	0.54	0	0	0.0	0.0		
NFYA	TP53	0.54	0	0	0.0	0.0		
NOL3	TP53	0.54	0	0	0.0	0.0		
BAG5	TP53	0.53	0	0	0.0	0.0		
CCT7	TP53	0.53	0	0	0.0	0.0		
OLA1	TP53	0.53	0	0	0.0	0.0		
PHF1	TP53	0.53	0	0	0.0	0.0		
CCT4	TP53	0.53	0	0	0.0	0.0		
CCT2	TP53	0.53	0	0	0.0	0.0		
SETD1A	TP53	0.53	0	0	0.0	0.0		
CCDC8	TP53	0.53	0	0	0.0	0.0		
CCT6A	TP53	0.53	0	0	0.0	0.0		
FAM111A	TP53	0.53	0	0	0.0	0.0		
TCP1	TP53	0.53	0	0	0.0	0.0		
OBSL1	TP53	0.53	0	0	0.0	0.0		
PPP1CC	CDKN2A|TP53	0.52	0	0	0.0	0.0		
SNAI1	TP53	0.52	0	0	0.0	0.0		
CEBPZ	TP53	0.52	0	0	0.0	0.0		
MED1	TP53	0.52	0	0	0.0	0.0		
TRIM28	TP53	0.52	0	0	0.0	0.0		
PIAS2	TP53	0.52	0	0	0.0	0.0		
DDX17	TP53	0.52	0	0	0.0	0.0		
ATG7	TP53	0.52	0	0	0.0	0.0		
UHRF2	TP53	0.52	0	0	0.0	0.0		
CRELD2	CDKN2A	0.51	0	0	0.0	0.0		
TDRD7	CDKN2A	0.51	0	0	0.0	0.0		
HNRNPU	CDKN2A	0.51	0	0	0.0	0.0		
DEAF1	CDKN2A	0.51	0	0	0.0	0.0		
BTBD2	TP53	0.51	0	0	0.0	0.0		
AIPL1	TP53	0.51	0	0	0.0	0.0		
FXR1	TP53	0.51	0	0	0.0	0.0		
PIAS4	TP53	0.51	0	0	0.0	0.0		
MCM6	CDKN2A	0.5	0	0	0.0	0.0		
BANP	TP53	0.5	0	0	0.0	0.0		
PARD3	TP53	0.5	0	0	0.0	0.0		
MPDZ	TP53	0.5	0	0	0.0	0.0		
EAF2	TP53	0.49	0	0	0.0	0.0		
RAN	CDKN2A	0.46	0	0	0.0	0.0		
APTX	TP53	0.46	0	0	0.0	0.0		
CDC6	CDKN2A	0.44	0	0	0.0	0.0		
CDC45	CDKN2A	0.44	0	0	0.0	0.0		
MCM2	CDKN2A	0.44	0	0	0.0	0.0		
MCM10	CDKN2A	0.44	0	0	0.0	0.0		
ORC4	CDKN2A	0.44	0	0	0.0	0.0		
ORC5	CDKN2A	0.44	0	0	0.0	0.0		
MCM5	CDKN2A	0.44	0	0	0.0	0.0		
NAP1L1	TP53	0.44	0	0	0.0	0.0		
UBE2M	TP53	0.44	0	0	0.0	0.0		
GGA1	TP53	0.44	0	0	0.0	0.0		
S100A16	TP53	0.44	0	0	0.0	0.0		
GGA3	TP53	0.44	0	0	0.0	0.0		
S100A13	TP53	0.44	0	0	0.0	0.0		
FBL	CDKN2A	0.42	0	0	0.0	0.0		
DIDO1	CDKN2A	0.4	0	0	0.0	0.0		
EIF1B	CDKN2A	0.4	0	0	0.0	0.0		
MTA1	CDKN2A	0.4	0	0	0.0	0.0		
MCC	CDKN2A	0.4	0	0	0.0	0.0		
FTSJ1	CDKN2A	0.4	0	0	0.0	0.0		
MLF2	TP53	0.4	0	0	0.0	0.0		
ANK2	TP53	0.4	0	0	0.0	0.0		
YY2	TP53	0.4	0	0	0.0	0.0		
NMT2	TP53	0.4	0	0	0.0	0.0		
ING2	TP53	0.4	0	0	0.0	0.0		
SAFB2	TP53	0.4	0	0	0.0	0.0		
DYNC1I1	TP53	0.4	0	0	0.0	0.0		
NABP1	TP53	0.4	0	0	0.0	0.0		
TWIST2	TP53	0.4	0	0	0.0	0.0		
UBB	TP53	0.4	0	0	0.0	0.0		
RB1CC1	TP53	0.4	0	0	0.0	0.0		
S100A3	TP53	0.4	0	0	0.0	0.0		
TAF9B	TP53	0.4	0	0	0.0	0.0		
POLR3B	TP53	0.4	0	0	0.0	0.0		
GFI1	TP53	0.4	0	0	0.0	0.0		
NEIL3	TP53	0.4	0	0	0.0	0.0		
ING4	TP53	0.4	0	0	0.0	0.0		
USP29	TP53	0.4	0	0	0.0	0.0		
TOPORS	TP53	0.4	0	0	0.0	0.0		
XRCC6	TP53	0.4	0	0	0.0	0.0		
BAG1	TP53	0.4	0	0	0.0	0.0		
CCAR2	TP53	0.4	0	0	0.0	0.0		
KIAA1671	TP53	0.4	0	0	0.0	0.0		
ZIC3	TP53	0.4	0	0	0.0	0.0		
JMY	TP53	0.4	0	0	0.0	0.0		
GNL3L	TP53	0.4	0	0	0.0	0.0		
PAGR1	TP53	0.4	0	0	0.0	0.0		
ZNF385A	TP53	0.4	0	0	0.0	0.0		
RASGRF1	TP53	0.4	0	0	0.0	0.0		
MAGEC2	TP53	0.4	0	0	0.0	0.0		
